boosting_type,class_weight,colsample_bytree,learning_rate,min_child_samples,num_leaves,reg_alpha,reg_lambda,subsample_for_bin,subsample,loss,evals
dart,balanced,0.6021874251815906,0.05196075514728315,240,82,0.2090416820770315,0.6655705625052386,180000,0.8772683893930648,0.2305075307715059,71
dart,balanced,0.6077910448089742,0.08783831758750019,230,44,0.16571225625681618,0.43702345115978314,120000,0.9699110051642057,0.2320639281353567,6
dart,balanced,0.6151921777825,0.061367059805876444,235,65,0.2712820300321585,0.6250244873692077,160000,0.9998951576073539,0.2329525857165609,67
dart,balanced,0.6350345091506444,0.041158524165421116,230,69,0.2528853829205591,0.7178596092145544,200000,0.9339090395327152,0.2334647805610539,66
dart,balanced,0.7423487976731361,0.0800738961796434,140,61,0.1868279554002499,0.6091255443481285,220000,0.9994380252643493,0.2335014674766228,77
dart,balanced,0.6579426174146054,0.0628272738377656,220,47,0.11363130171634667,0.9889911351599066,140000,0.947613054969131,0.2343751848565513,69
gbdt,,0.6220082377595529,0.03565154266775181,225,70,0.41007410794253185,0.45276116373350317,280000,0.7661806376140439,0.23475403650869495,15
dart,balanced,0.690479555523552,0.03980229435513438,230,70,0.24622326150095064,0.5877854314055448,200000,0.9368987823132868,0.2354338346263811,46
gbdt,,0.620649129448606,0.017934544496484815,260,30,0.2092981310373776,0.8946886330215067,20000,0.8731487506937664,0.23548417248727804,5
dart,,0.760214582412862,0.10209131580055425,160,148,0.6416888336776412,0.8670335908411946,280000,0.6549702254787416,0.2355172760296984,30
dart,balanced,0.6189072317051688,0.09348838673529855,245,88,0.20621121744421061,0.6857572658344633,120000,0.8715237823500604,0.2356599852873145,72
dart,,0.6125254520338548,0.04421378245866118,270,106,0.31147962166103815,0.2635367078622815,80000,0.7938374758356521,0.23568755261301844,56
gbdt,balanced,0.7030702169604305,0.056783049381629425,180,45,0.9250353800832014,0.80889492798442,260000,0.978856754923114,0.2357272541123473,57
dart,,0.6786536190504365,0.035610432022412326,210,85,0.7434097604444954,0.3872871843819635,100000,0.6749101039301268,0.2357933474393101,54
dart,,0.7509976837490597,0.11228528694149816,495,147,0.06972518524470034,0.054083538516412955,180000,0.9482735054741676,0.2361241174284652,58
gbdt,balanced,0.7706879189819607,0.03598378193909862,135,67,0.9645612747608906,0.9616204046171472,60000,0.5253657477796922,0.2361432666712171,18
gbdt,balanced,0.7326787636533016,0.017532163285674928,420,34,0.78739503162987,0.5520827853417427,220000,0.5140566400846498,0.2361617333667023,10
dart,balanced,0.6745912858689237,0.05283815731551785,325,80,0.03644152604144846,0.8041457569900996,160000,0.9961863584722596,0.23619929242600055,73
goss,balanced,0.6735460774723526,0.059980640747478726,145,100,0.2844123509859711,0.35613146397786044,300000,1.0,0.2368210550663966,35
dart,balanced,0.7121438214305825,0.08452386018060772,195,73,0.5770459004286619,0.469691873956422,300000,0.8575131521621273,0.2368981639478533,63
gbdt,balanced,0.7878722696495764,0.048936410244575575,410,132,0.17616663325172033,0.7234573267040174,180000,0.5211750033711255,0.2369202140164872,11
dart,,0.6673076386901536,0.040118914534607024,475,70,0.8695100073452218,0.44076667329472063,160000,0.9985285847190133,0.2369459043372085,9
dart,balanced,0.7136507759596049,0.011497668363662672,215,56,0.585864934946061,0.42133988804770184,160000,0.7597400868403917,0.2370142159427873,26
gbdt,,0.6432835109016702,0.07717437868403272,250,37,0.3987161075966822,0.4974998692074563,80000,0.6407450990085998,0.2371988828976407,25
goss,balanced,0.8281037266643072,0.05565441586040854,125,102,0.8878029074840853,0.9836336562472392,220000,1.0,0.23740286973206226,3
