class_weight,boosting_type,num_leaves,learning_rate,subsample_for_bin,min_child_samples,reg_alpha,reg_lambda,colsample_bytree,subsample,loss,evals
balanced,gbdt,143,0.009576676288460218,80000,240,0.7755102040816326,0.1020408163265306,0.6888888888888889,0.7323232323232324,0.23205975701317316,32
,gbdt,64,0.08428934915069207,240000,225,0.836734693877551,0.836734693877551,0.8666666666666667,0.8181818181818182,0.23214869671391414,75
,gbdt,111,0.032631056938972655,180000,255,0.6530612244897959,0.9591836734693877,0.6,0.7878787878787878,0.2332225142007751,6
,gbdt,43,0.05512535256178241,160000,260,0.12244897959183673,0.7959183673469387,0.7333333333333333,0.5757575757575758,0.23460414154513531,40
,goss,83,0.008170662475284547,60000,155,0.5510204081632653,0.4897959183673469,0.6888888888888889,1.0,0.23570234113712363,10
balanced,dart,140,0.00929791343190622,40000,155,0.9183673469387754,0.18367346938775508,0.6888888888888889,0.6111111111111112,0.23627025838205962,15
,gbdt,67,0.13978952241239237,120000,405,1.0,0.8775510204081632,0.7333333333333333,0.9747474747474748,0.23633547956529322,33
balanced,gbdt,136,0.022556139693221334,200000,305,0.9591836734693877,0.3469387755102041,0.7333333333333333,0.8232323232323233,0.23642144260156683,24
,dart,45,0.06112993899940833,60000,355,0.08163265306122448,0.9183673469387754,0.9111111111111111,0.6262626262626263,0.23646726806664697,45
balanced,gbdt,127,0.05741054640417811,280000,115,0.7959183673469387,0.36734693877551017,0.7777777777777778,0.6767676767676768,0.23656800066737949,21
balanced,gbdt,91,0.05762293086296789,80000,435,0.9387755102040816,0.5510204081632653,0.6,0.9646464646464648,0.23709071811556282,53
balanced,dart,137,0.10996044369128745,260000,220,0.9387755102040816,0.32653061224489793,1.0,0.9393939393939394,0.23709763838645836,58
,dart,56,0.00691978189268283,280000,85,1.0,0.8571428571428571,0.6,0.9393939393939394,0.23711515709962927,62
balanced,gbdt,76,0.032631056938972655,120000,205,0.26530612244897955,0.9591836734693877,0.6444444444444444,0.5555555555555556,0.23716069817001484,42
,gbdt,44,0.005925684605844388,220000,445,0.12244897959183673,0.5306122448979591,0.7333333333333333,1.0,0.23721325430952755,29
balanced,gbdt,72,0.006240075202569249,120000,335,0.44897959183673464,0.44897959183673464,0.6444444444444444,0.6515151515151515,0.23722332188170703,39
